template_code,dish_name,source_page,author,license,license_url,download_url,local_file_name
"DISH_031","四喜丸子","https://commons.wikimedia.org/wiki/File%3AXiaoSiXi_(Mahjong).JPG","The original uploader was Kowloonese at English Wikipedia.","CC BY-SA 3.0","http://creativecommons.org/licenses/by-sa/3.0/","https://upload.wikimedia.org/wikipedia/commons/8/85/XiaoSiXi_%28Mahjong%29.JPG","dish-031.jpg"
"DISH_032","农家小炒肉","https://commons.wikimedia.org/wiki/File%3AFried_Pork_with_Pepper_20210630.jpg","Huangdan2060","CC BY 3.0","https://creativecommons.org/licenses/by/3.0","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Fried_Pork_with_Pepper_20210630.jpg/960px-Fried_Pork_with_Pepper_20210630.jpg","dish-032.jpg"
"DISH_033","土豆炖排骨","https://commons.wikimedia.org/wiki/File%3A%E6%B9%98%E8%8F%9C%E9%A6%86%E4%B9%8B%E5%9C%9F%E8%B1%86%E7%82%96%E6%8E%92%E9%AA%A8.jpg","Liuxingy","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/%E6%B9%98%E8%8F%9C%E9%A6%86%E4%B9%8B%E5%9C%9F%E8%B1%86%E7%82%96%E6%8E%92%E9%AA%A8.jpg/960px-%E6%B9%98%E8%8F%9C%E9%A6%86%E4%B9%8B%E5%9C%9F%E8%B1%86%E7%82%96%E6%8E%92%E9%AA%A8.jpg","dish-033.jpg"
"DISH_034","豆角炖排骨","https://commons.wikimedia.org/wiki/File%3AJiefang_Road%2C_Shenzhen_(254).jpg","Dinkun Chen","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Jiefang_Road%2C_Shenzhen_%28254%29.jpg/960px-Jiefang_Road%2C_Shenzhen_%28254%29.jpg","dish-034.jpg"
"DISH_035","冬瓜烧肉","https://commons.wikimedia.org/wiki/File%3ADish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","Smuconlaw.","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg/960px-Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","dish-035.jpg"
"DISH_036","鹌鹑蛋红烧肉","https://commons.wikimedia.org/wiki/File%3ADish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","Smuconlaw.","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg/960px-Dish_of_stewed_pork%2C_Romanesco_and_broccoli%2C_and_steamed_egg%2C_Singapore_-_20150129.jpg","dish-036.jpg"
"DISH_037","水煮肉片","https://commons.wikimedia.org/wiki/File%3A%E5%AE%B6%E5%BA%AD%E6%B0%B4%E7%85%AE%E8%82%89%E7%89%87.jpg","zhantongz","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0","https://upload.wikimedia.org/wikipedia/commons/f/f9/%E5%AE%B6%E5%BA%AD%E6%B0%B4%E7%85%AE%E8%82%89%E7%89%87.jpg","dish-037.jpg"
"DISH_038","孜然牛肉","https://commons.wikimedia.org/wiki/File%3ACumin_beef_fried_rice_(1).jpg","Fumikas Sagisavas","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en","https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Cumin_beef_fried_rice_%281%29.jpg/960px-Cumin_beef_fried_rice_%281%29.jpg","dish-038.jpg"
"DISH_039","黑椒牛柳","https://www.flickr.com/photos/10559879@N00/4003904363","avlxyz","BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0/","https://api.openverse.org/v1/images/9e29cb4c-00ed-4336-8dfe-9fde007a3c23/thumb/","dish-039.jpg"
"DISH_040","土豆烧鸡","https://www.flickr.com/photos/10559879@N00/2500744954","avlxyz","BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0/","https://api.openverse.org/v1/images/a61ad267-f438-4e04-8dbf-6611946b1660/thumb/","dish-040.jpg"
"DISH_041","咖喱鸡块","https://www.flickr.com/photos/71635685@N00/2512709831","DavidPanChina","BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0/","https://api.openverse.org/v1/images/977dcd44-b752-4863-a992-4a8509b6dbb6/thumb/","dish-041.jpg"
"DISH_042","板栗烧鸡","https://www.flickr.com/photos/10559879@N00/2500744954","avlxyz","BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0/","https://api.openverse.org/v1/images/a61ad267-f438-4e04-8dbf-6611946b1660/thumb/","dish-042.jpg"
"DISH_043","香煎鸡胸","https://www.flickr.com/photos/10559879@N00/2500744954","avlxyz","BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0/","https://api.openverse.org/v1/images/a61ad267-f438-4e04-8dbf-6611946b1660/thumb/","dish-043.jpg"
"DISH_044","清蒸鲈鱼","https://www.flickr.com/photos/10559879@N00/2337447558","avlxyz","BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0/","https://api.openverse.org/v1/images/c5107aaa-7cfd-4f0c-9bca-54cc229d05c1/thumb/","dish-044.jpg"
"DISH_045","红烧鲫鱼","https://www.flickr.com/photos/10559879@N00/2500744954","avlxyz","BY-SA 2.0","https://creativecommons.org/licenses/by-sa/2.0/","https://api.openverse.org/v1/images/a61ad267-f438-4e04-8dbf-6611946b1660/thumb/","dish-045.jpg"
